"Open","High","Low","Close","Volume","Adjusted","date"
3.64,3.69,3.63,3.64,37494200,3.27437,"2014-03-20"
3.62,3.78,3.61,3.77,124537600,3.39132,"2014-03-21"
3.81,3.84,3.77,3.82,118043800,3.43629,"2014-03-24"
3.8,3.82,3.77,3.78,48919800,3.40031,"2014-03-25"
3.8,3.81,3.77,3.78,40895100,3.40031,"2014-03-26"
3.78,3.83,3.74,3.78,71222100,3.40031,"2014-03-27"
3.77,3.85,3.77,3.82,102641200,3.43629,"2014-03-28"
3.81,3.81,3.75,3.78,84760300,3.40031,"2014-03-31"
3.77,3.81,3.76,3.78,54590100,3.40031,"2014-04-01"
3.78,3.81,3.77,3.8,61663200,3.4183,"2014-04-02"
3.81,3.82,3.72,3.74,108936100,3.36433,"2014-04-03"
3.74,3.77,3.72,3.76,62512500,3.38232,"2014-04-04"
3.76,3.76,3.76,3.76,0,3.38232,"2014-04-07"
3.76,3.88,3.75,3.85,169960900,3.46328,"2014-04-08"
3.85,3.86,3.81,3.84,104337200,3.45428,"2014-04-09"
3.84,3.92,3.82,3.88,128549200,3.49027,"2014-04-10"
3.87,3.91,3.85,3.89,120642800,3.49926,"2014-04-11"
3.88,3.9,3.85,3.87,50910900,3.48127,"2014-04-14"
3.86,3.87,3.78,3.79,83116600,3.40931,"2014-04-15"
3.78,3.82,3.77,3.79,55878200,3.40931,"2014-04-16"
3.8,3.81,3.78,3.78,31771100,3.40031,"2014-04-17"
3.78,3.79,3.75,3.78,35952000,3.40031,"2014-04-18"
3.77,3.8,3.72,3.72,53998600,3.34634,"2014-04-21"
3.72,3.75,3.71,3.74,50759500,3.36433,"2014-04-22"
3.73,3.74,3.72,3.73,46225300,3.35533,"2014-04-23"
3.73,3.75,3.71,3.73,42153200,3.35533,"2014-04-24"
3.73,3.77,3.72,3.73,62428600,3.35533,"2014-04-25"
3.73,3.74,3.7,3.71,62301300,3.33734,"2014-04-28"
3.71,3.73,3.69,3.71,65084800,3.33734,"2014-04-29"
3.73,3.73,3.7,3.71,52252700,3.33734,"2014-04-30"
3.71,3.71,3.71,3.71,0,3.33734,"2014-05-01"
3.71,3.71,3.71,3.71,0,3.33734,"2014-05-02"
3.7,3.72,3.68,3.71,55226700,3.33734,"2014-05-05"
3.7,3.73,3.69,3.72,36467200,3.34634,"2014-05-06"
3.71,3.72,3.7,3.71,37415400,3.33734,"2014-05-07"
3.71,3.74,3.7,3.71,42747100,3.33734,"2014-05-08"
3.72,3.73,3.7,3.72,28823000,3.34634,"2014-05-09"
3.73,3.77,3.72,3.76,74044500,3.38232,"2014-05-12"
3.76,3.77,3.74,3.76,40800600,3.38232,"2014-05-13"
3.76,3.77,3.74,3.77,33504900,3.39132,"2014-05-14"
3.78,3.81,3.76,3.77,95394700,3.39132,"2014-05-15"
3.76,3.78,3.75,3.77,53572900,3.39132,"2014-05-16"
3.76,3.77,3.73,3.74,43408900,3.36433,"2014-05-19"
3.75,3.77,3.75,3.76,38452100,3.38232,"2014-05-20"
3.75,3.8,3.74,3.79,58584500,3.40931,"2014-05-21"
3.79,3.83,3.78,3.79,61886900,3.40931,"2014-05-22"
3.8,3.81,3.77,3.81,41430700,3.4273,"2014-05-23"
3.82,3.82,3.79,3.8,28966200,3.4183,"2014-05-26"
3.8,3.82,3.79,3.8,37120300,3.4183,"2014-05-27"
3.8,3.83,3.79,3.82,43124300,3.43629,"2014-05-28"
3.83,3.83,3.81,3.82,40613100,3.43629,"2014-05-29"
3.82,3.82,3.8,3.81,38037200,3.4273,"2014-05-30"
3.81,3.81,3.81,3.81,0,3.4273,"2014-06-02"
3.81,3.83,3.81,3.82,39803400,3.43629,"2014-06-03"
3.82,3.82,3.78,3.8,33324100,3.4183,"2014-06-04"
3.8,3.84,3.78,3.83,50595700,3.44529,"2014-06-05"
3.83,3.84,3.79,3.79,34315400,3.40931,"2014-06-06"
3.79,3.84,3.79,3.81,42259700,3.4273,"2014-06-09"
3.82,3.85,3.81,3.85,67243200,3.46328,"2014-06-10"
3.85,3.85,3.82,3.84,42414500,3.45428,"2014-06-11"
3.83,3.84,3.82,3.84,37552700,3.45428,"2014-06-12"
3.83,3.9,3.82,3.88,111573900,3.49027,"2014-06-13"
3.88,3.92,3.87,3.92,82670700,3.52625,"2014-06-16"
3.9,3.91,3.86,3.88,64162200,3.49027,"2014-06-17"
3.87,3.88,3.84,3.85,60579000,3.46328,"2014-06-18"
3.85,3.86,3.81,3.82,51299700,3.43629,"2014-06-19"
3.82,3.85,3.82,3.84,38578300,3.45428,"2014-06-20"
3.84,3.88,3.83,3.86,40106600,3.47228,"2014-06-23"
3.85,3.88,3.85,3.87,27723800,3.48127,"2014-06-24"
3.87,3.87,3.84,3.85,29116500,3.46328,"2014-06-25"
3.85,3.88,3.85,3.86,29941500,3.47228,"2014-06-26"
